station;station_name;latitude;longitude
589108;вюоюебйю-пнярнбяйюъ;48.01984787;40.75588989
589004;анфйнбяйюъ;;
588904;гбепебяйюъ;48.0463562;40.19060516
588800;мнбнлхуюикнбяйюъ;48.04851532;40.12660217
588750;лнпнгнбяйюъ-чфмюъ;;
588641;йсльюкей;;
588507;вепйюяяйюъ;47.94294739;41.99850464
588302;лнпнгнбяйюъ;48.35108566;41.83901978
588209;бюкэйнбн;48.30469894;41.58824158
588143;йнбшкйхм;48.24127197;41.47851562
588105;рюжхмяйюъ;48.1907959;41.28399658
588001;ашярпнпевемяйюъ;48.188591;41.1879158
587901;фхпмнб;48.17633057;41.1162262
587808;цпювх;48.19454193;40.97965622
587704;аекюъ йюкхрбю;48.17450714;40.79366684
510907;сяоемяйюъ;47.69179535;38.67471695
510702;гюпевмюъ;47.20525742;39.70564651
510609;цмхкнбяйюъ;47.1903801;39.63572311
510505;уюопш;47.24463654;39.50871277
510401;пнярнб-гюоюдмши;47.24838257;39.61141586
510238;релепмхй;47.25004196;39.65833282
510204;пнярнб-цкюбмши;47.21834183;39.69038391
510153;гннкнцхвеяйхи яюд;;
510126;пюгбхкйю;47.24651337;39.79027176
510100;пнярнб-рнбюпмши;47.24482346;39.74794006
510064;опнрнвмши;;
510050;гекемши ксц;47.1868782;39.76820755
510007;аюрюияй;47.13823318;39.75556183
586275;янупюмнбйю;;
586260;йсреимхйнбн;;
586282;бхмнцпюднбйю;49.29824066;40.45096207
586294;йнкндегх;49.12504578;40.50437927
516229;рхлюьебяй-наунд;;
522396;цпевюмюъ;;
523312;рюлюмэ-оюяяюфхпяйюъ;;
607720;акюцндюрйю;52.20940018;43.88363266
782505;дпсфхмхмн;56.79073715;59.5177803
174306;бъгэлю;55.19751358;34.31762314
587600;йюйхвеб;48.16090775;40.71670914
587403;бюяхкэебяйхи;48.17634964;40.55654526
587301;пеомюъ;48.18567657;40.48586655
587206;йюлемяйюъ;48.3294487;40.25869751
587102;онцнпекнбн;48.43098831;40.28873825
587009;цксанйюъ;48.52444839;40.32316589
586909;рюпюянбйю;48.72626495;40.35724258
586415;анвемйнбн;49.00485229;40.4511795
586400;люкэвебяйюъ;49.05781555;40.36524963
586359;ьеорсунбйю;49.21137238;40.24383163
586504;лхккепнбн;48.92131805;40.39269257
580404;цсйнбн;48.04991531;39.94128036
580334;опедсцнкэмюъ;48.06154251;40.09158707
580300;гюлвюкнбн;48.11646271;40.06921387
580003;кхуюъ;48.15596008;40.19114304
519904;жхлкъмяйюъ;47.65868759;42.04859543
524404;йпюямндюп I;45.01823807;38.9890976
524156;йсаюмэ;;
524122;ьемдфхи;;
949119;юкесп;52.56269073;117.110527
949104;вепмшьебяй-гюаюийюкэяйхи;52.51517487;117.0197144
948830;сйспеи;;
940006;вхрю I;52.03451157;113.4577637
940105;оерпнбяйхи гюбнд;51.29079437;108.8582764
940010;вхрю II;52.02809906;113.4947281
940400;рюпаюцюрюи;51.18312836;109.1020126
940307;аюкъцю;51.15245056;108.9371719
942302;юмрхохую;51.98918533;113.5459442
519707;бнкцнднмяйюъ;47.51758575;42.16111374
519603;яюкнбяйхи;47.40839386;42.25281525
519571;йсреимхйнбяйюъ;47.25667191;42.16625214
519105;йсаепке;47.00663757;42.20171738
519001;дбнимюъ;46.8745079;42.04494858
518920;екэлср;46.78669739;41.89730072
518901;опнкерюпяйюъ;46.69644547;41.70653534
518827;ьюакхебяйюъ;46.53757477;41.60890198
518403;яюкэяй;46.47031403;41.54625702
518352;гюашрши;46.42043304;41.467659
518300;пюгбхкэмюъ;46.22734451;41.29353714
518206;оеявюмнйнояйюъ;46.17082977;41.07575989
518102;аекнцкхмяйюъ;46.09365463;40.83328247
518009;еъ;45.96001434;40.68525314
517909;пнбмне;45.93598175;40.57626343
517805;онпньхмяйюъ;45.87340927;40.37094116
515744;нпкнбйю-йсаюмяйюъ;46.67844772;39.22705841
514205;йюъкю;46.93540955;39.67667389
514101;йниясц;47.0463028;39.69535828
514008;акнйоняр 13 йл;;
513607;йхгхрепхмйю;47.2297287;39.82699585
523904;яебепяйюъ;44.87137985;38.69112396
523806;хкэяйюъ;44.86188889;38.55324173
523204;бшьеяреакхебяйюъ;45.20590591;37.02735901
522502;ярюпнрхрюпнбйю;;
522709;чпнбяйхи;45.1206131;37.43559265
522606;бюпемхйнбяйюъ;45.10844421;37.66852951
520901;мнбнпняяхияй;44.73539352;37.77487946
520808;йпюямндюп II;45.05464554;38.98695374
520704;рхрюпнбйю;45.24867249;39.01063156
520102;рхунпежйюъ;45.84898376;40.11822891
210201;рскю I-йспяйюъ;54.19963074;37.57858658
210907;рюпсяяйюъ;54.73511887;37.4008255
210729;ьскэцхмн;54.5746994;37.59484482
210708;ъямнцнпяй;54.47893524;37.68473053
210606;пебъйхмн;54.36304474;37.66305923
210502;унлъйнбн;54.29373169;37.60871887
215402;вепмэ;53.43367004;36.78892899
293100;йнмнью II;;
293007;йнмнью I;60.97401047;40.24665833
292907;епжебн;60.79580688;40.09324265
942105;йюдюкю;52.01659775;113.3292236
942001;вепмнбяйюъ;51.97187424;113.2302475
941901;днлмю;51.90191269;113.1565552
941704;цнксахвмюъ;51.62221146;113.0460815
941600;кеямюъ;51.76596832;113.0018845
941507;цнмцнрю;51.77296066;112.2509537
941437;ъакнмнбюъ;51.84017563;112.7572632
941418;рспцсрси;51.84256744;112.6430512
941403;янунмдн;;
941300;лнцгнм;51.73650742;111.9626236
941225;рюидср;51.63550568;111.4250794
941206;уюпюцсм;51.55176163;111.179718
941102;усьемцю;51.4383812;110.9285889
941009;цшпьексм;51.4003067;110.6635056
940909;ухкнй;51.36233902;110.4531784
940805;фхоуецем;51.45103073;110.173851
940701;аюдю;51.38755798;109.86306
940608;унунрси;51.28517532;109.5733337
940504;мнбноюбкнбйю;51.2120018;109.2284012
948474;йсщмцю;52.06878662;117.0511169
948101;опххяйнбюъ;51.91714478;116.6179276
315808;люкюунбяйюъ;57.2820282;40.91799545
315719;юплемйх;;
315511;ефнбн;57.40644455;40.69137573
315507;мепеурю;57.46190643;40.54868698
315418;яюуюпеф;57.44488144;40.42457962
315403;асплюйхмн;57.4368248;40.31929779
315314;рныхую;57.47421265;40.21001816
315301;кчрнбн;57.49248123;40.1197319
315206;рекхыебн;57.52782059;39.96076965
314909;мнбнъпнякюбяйюъ;57.57566833;39.79290771
314810;онкъмйх;57.59181976;39.83389664
314701;йнгэлнделэъмяй;57.48765182;39.68851852
314425;йнпнлшякнбн;57.39223862;39.59996414
314307;пнярнб-ъпнякюбяйхи;57.19817734;39.40748596
314006;яхкэмхжш;56.93073273;39.29114914
313427;аепемдеебн;;
313304;аюкюйхпебн;56.50774002;38.85013962
313107;лнкнр;57.6739502;39.75961304
312706;ремхмн;57.70895004;39.68723297
312621;веаюйнбн;57.75500107;39.53686142
319315;анкэьюйнбн;56.48853683;41.19761658
319300;яюбхмн;56.58949661;41.21203613
319211;ьнпшцхмн;56.6588707;41.26306534
319014;кюдшцхмн;56.72646332;41.30685806
319003;ьсъ;56.85066986;41.35166168
318914;бнпнфхмн;56.89474487;41.23731613
318908;йнулю;56.95144653;41.13975143
318806;цнпхмн;56.98323822;41.06391525
318609;хбюмнбн-янпрхпнбнвмне;57.00756073;41.03807449
318401;рейярхкэмши;56.99830627;40.89066315
318204;нанкясмнбн;56.88593292;40.63222504
318100;реийнбн;56.8576889;40.56489563
318007;яюуршь;56.80273056;40.55286026
317911;ъйьхмяйхи;;
317818;мепкэ;56.66384888;40.38201523
317702;оерпнбяйюъ;56.63578796;40.30654907
317606;цюбпхкнб оняюд;56.5666008;40.1210289
317305;чпэеб-онкэяйхи;56.48443604;39.66918945
185207;ясухмхвх-цкюбмше;54.08673859;35.31754303
185005;ясухмхвх;54.1175766;35.34235764
615321;йпхбнлсгцхмяйхи;;
615302;къохвеб;48.49404907;43.49782181
615209;кнфйх;48.44029236;43.37966919
615124;оняр 278 йл;48.45948792;43.32700729
615105;вхп;48.48270798;43.16127396
615001;яспнбхйхмн;48.60584259;42.84607697
614901;накхбяйюъ;48.54221344;42.50280762
614831;бнгмеяемяйхи;48.385952;41.95450211
614808;вепмшьйнб;48.42660141;42.21763229
615904;йюпонбяйюъ;48.68101501;44.05550385
615800;опсдани;48.68127441;43.90564728
307500;ьюпэъ;58.36637497;45.52411652
307407;бюпюйхмяйхи;58.37010956;45.34121323
307303;ьейьелю;58.34408188;45.18072891
307201;смфю;58.34047699;44.8268013
307106;люмрспнбн;58.3340683;44.74264908
307021;йнярпхую;58.32621765;44.56980896
307002;апюмрнбйю;58.3146019;44.32492065
306705;меъ;58.29289627;43.8593483
306601;екемяйхи;58.29837799;43.73583984
306508;мнлфю;58.30494308;43.57159805
306404;мхйнкн-онкнлю;58.33925247;43.39024734
306300;юмрпнонбн;58.40067673;43.00373459
306207;кноюпебн;58.33826065;42.66767502
306103;йпюяхкэмхйнбн;58.34977722;42.53477478
306006;цюкхв;58.36772919;42.34421539
304705;пняянкнбн;58.42593765;42.02053452
304610;люупнбн;58.42677689;41.68888092
304606;аси;58.46695709;41.54610062
304502;йнпецю;58.46575165;41.41838074
304413;апндмх;58.42487335;41.298069
304377;йюгюпхмнбн;58.3938942;41.18183517
304324;яейью;58.3452034;41.04175568
304305;кчахл;58.33927155;40.69326401
304127;фюпнй-ъпнякюбяйхи;58.2970314;40.54085159
304112;ксмйю;58.23096466;40.29834366
304165;янрэ;58.25383377;40.40639877
303711;пюрэйнбн-пнфмнбн;58.55172729;41.40538788
303745;ьсьйнднл;58.65185928;41.28691483
303603;бнурнцю;58.80789185;41.05451202
303500;кефю;58.93008041;40.76638412
303444;асьсхую;59.02112579;40.45769119
303433;рстюмнбн;59.06209183;40.30371094
303251;оюопхую;59.11587906;40.15078735
596506;бнпнмеф I;51.68015671;39.20588303
241604;бейнбйю;55.49970245;40.80387115
240809;щяхмн;56.18096161;41.47413635
240705;бняунд;56.08890152;41.53972626
240508;мепсдмюъ;55.94564056;41.1502533
240404;бнкняюрюъ;55.97662354;41.61956024
240300;яекхбюмнбн;55.89033127;41.73671722
240052;ярпнидерюкэ;55.59968567;41.99623489
240000;лспнл I;55.56359863;42.01702499
248105;йюмюь;55.51052094;47.4772377
254106;янямнбйю;56.24513245;51.29214096
254002;гюярпсц;56.24748993;51.19772339
253902;ълмне;56.25915527;51.11306
253809;бъряйхе онкъмш;56.22949219;51.03307343
